interval_from,interval_to,no2_B0_min,no2_B0_max,no2_B0_mean,no2_B0_stDev,no2_B0_sampleCount,no2_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2019-04-01,2019-05-01,1.6311281797243282e-05,0.0001436866441508755,5.9894625610576174e-05,2.7521478652957374e-05,65536,61321,NUTS_NL_01m_2024.shp,NL,2019,April,4
2019-05-01,2019-06-01,9.274730473407544e-06,0.0001347152137896046,6.129524768560059e-05,2.7262842315152195e-05,65536,60114,NUTS_NL_01m_2024.shp,NL,2019,May,5
2019-06-01,2019-07-01,-1.8161344996769913e-06,0.00014719234604854137,4.335947238487431e-05,1.704783294278755e-05,65536,50455,NUTS_NL_01m_2024.shp,NL,2019,June,6
2019-07-01,2019-08-01,3.179564737365581e-05,3.179564737365581e-05,3.179564737365581e-05,0.0,65536,65497,NUTS_NL_01m_2024.shp,NL,2019,July,7
2019-08-01,2019-09-01,1.3866442714061122e-05,0.0002120564313372597,7.009072562273314e-05,2.8785901659223257e-05,65536,34984,NUTS_NL_01m_2024.shp,NL,2019,August,8
2019-09-01,2019-10-01,-4.618653690613428e-07,0.0001248152693733573,4.040307871336186e-05,2.039288859863648e-05,65536,48599,NUTS_NL_01m_2024.shp,NL,2019,September,9
2019-10-01,2019-11-01,4.460070704226382e-05,0.00029803201323375106,0.00011648342253743603,4.540787367936965e-05,65536,34698,NUTS_NL_01m_2024.shp,NL,2019,October,10
2019-11-01,2019-12-01,-2.1049056158517487e-05,0.0007262388826347888,9.727674163505935e-05,5.875685988919855e-05,65536,35704,NUTS_NL_01m_2024.shp,NL,2019,November,11
2019-12-01,2020-01-01,1.3897963526687818e-06,0.00029011262813583016,7.71402921427278e-05,4.538821040599703e-05,65536,42949,NUTS_NL_01m_2024.shp,NL,2019,December,12
2020-01-01,2020-02-01,3.6646761145675555e-05,9.18258010642603e-05,5.6732858547547954e-05,1.3086027331927298e-05,65536,65456,NUTS_NL_01m_2024.shp,NL,2020,January,1
2020-02-01,2020-03-01,2.9022317903582007e-05,6.364787259371951e-05,4.818260235185596e-05,1.2589874065599736e-05,65536,65300,NUTS_NL_01m_2024.shp,NL,2020,February,2
2020-03-01,2020-04-01,-8.396015800826717e-06,0.00023505097487941384,7.861223029012512e-05,3.536192334215253e-05,65536,34772,NUTS_NL_01m_2024.shp,NL,2020,March,3
2020-04-01,2020-05-01,-9.164427865471225e-06,8.112727664411068e-05,3.149985297720192e-05,1.6587119280492807e-05,65536,56523,NUTS_NL_01m_2024.shp,NL,2020,April,4
2020-05-01,2020-06-01,8.363408596778754e-06,7.929665298433974e-05,3.1680224134599154e-05,1.0160913755361231e-05,65536,39060,NUTS_NL_01m_2024.shp,NL,2020,May,5
2020-06-01,2020-07-01,2.958864570246078e-05,5.059130853624083e-05,3.927853122506491e-05,6.81462223266392e-06,65536,65485,NUTS_NL_01m_2024.shp,NL,2020,June,6
2020-07-01,2020-08-01,3.0196104034985183e-06,0.00019296204845886678,5.538317187841381e-05,2.3805760284946555e-05,65536,34730,NUTS_NL_01m_2024.shp,NL,2020,July,7
2020-08-01,2020-09-01,-7.22690265320125e-06,6.586305244127288e-05,2.1097288477267964e-05,1.2473915788917463e-05,65536,62610,NUTS_NL_01m_2024.shp,NL,2020,August,8
2020-09-01,2020-10-01,2.6970214094035327e-05,0.00018919064314104617,0.0001048943547429327,3.499018853807802e-05,65536,62989,NUTS_NL_01m_2024.shp,NL,2020,September,9
2020-10-01,2020-11-01,-8.931163506531448e-07,0.0001119879016187042,4.771790577755418e-05,1.6147479850775403e-05,65536,55024,NUTS_NL_01m_2024.shp,NL,2020,October,10
2020-12-01,2021-01-01,-1.2440916179912165e-05,0.00024480008869431913,8.581933105048104e-05,4.6907976710161544e-05,65536,54099,NUTS_NL_01m_2024.shp,NL,2020,December,12
2021-01-01,2021-02-01,-4.3530704715522006e-05,0.00017508944438304752,4.3397663239398994e-05,4.8195799395872795e-05,65536,39673,NUTS_NL_01m_2024.shp,NL,2021,January,1
2021-02-01,2021-03-01,2.350005843254621e-06,0.0001835913717513904,5.6586152258725325e-05,2.982277117267741e-05,65536,42132,NUTS_NL_01m_2024.shp,NL,2021,February,2
2021-03-01,2021-04-01,6.294791819527745e-05,0.0006120194448158145,0.00020048523515967288,8.289315782239367e-05,65536,34698,NUTS_NL_01m_2024.shp,NL,2021,March,3
2021-04-01,2021-05-01,1.3072263755020685e-05,0.000137744311359711,4.735748257528279e-05,3.1790267627177925e-05,65536,64663,NUTS_NL_01m_2024.shp,NL,2021,April,4
2021-05-01,2021-06-01,-6.654184403487307e-07,0.0002613263495732099,6.22493456892093e-05,2.8542324946955827e-05,65536,35229,NUTS_NL_01m_2024.shp,NL,2021,May,5
2021-07-01,2021-08-01,4.069992428412661e-06,5.670171231031418e-05,2.5825974056502185e-05,9.431573581920313e-06,65536,62296,NUTS_NL_01m_2024.shp,NL,2021,July,7
2021-08-01,2021-09-01,-7.759333016110759e-07,0.00011012206960003823,4.14723050182944e-05,1.575043499165748e-05,65536,56170,NUTS_NL_01m_2024.shp,NL,2021,August,8
2021-09-01,2021-10-01,2.032498741755262e-05,0.00010685159213608131,5.775041814505518e-05,2.0732889217974326e-05,65536,64819,NUTS_NL_01m_2024.shp,NL,2021,September,9
2021-10-01,2021-11-01,1.9765246179304086e-05,9.309060260420665e-05,5.738270570961802e-05,1.555136930987807e-05,65536,63399,NUTS_NL_01m_2024.shp,NL,2021,October,10
2021-12-01,2022-01-01,-4.458703642740147e-06,0.00012195712770335376,5.5286468442043184e-05,2.1003595716115524e-05,65536,59128,NUTS_NL_01m_2024.shp,NL,2021,December,12
2022-01-01,2022-02-01,-3.2903201372391777e-06,4.894000812782906e-05,2.567968271844415e-05,1.1853897057643648e-05,65536,64384,NUTS_NL_01m_2024.shp,NL,2022,January,1
2022-02-01,2022-03-01,1.4278797607403249e-05,0.00038109152228571475,9.844162445990265e-05,3.3221027450967144e-05,65536,34767,NUTS_NL_01m_2024.shp,NL,2022,February,2
2022-03-01,2022-04-01,1.3546970876632258e-05,5.6885950471041724e-05,3.555997188120752e-05,1.2526521409865222e-05,65536,65229,NUTS_NL_01m_2024.shp,NL,2022,March,3
2022-04-01,2022-05-01,1.4908583580108825e-05,7.276525138877332e-05,4.138428655229449e-05,1.4596049574865326e-05,65536,63812,NUTS_NL_01m_2024.shp,NL,2022,April,4
2022-05-01,2022-06-01,2.1843907234142534e-05,0.0001526110718259588,6.686422520077672e-05,2.7225529172073044e-05,65536,64243,NUTS_NL_01m_2024.shp,NL,2022,May,5
2022-06-01,2022-07-01,7.663990118089714e-07,0.00012008589692413807,4.190980572766279e-05,1.72316914768543e-05,65536,51783,NUTS_NL_01m_2024.shp,NL,2022,June,6
2022-07-01,2022-08-01,2.3002434318186715e-05,2.852571378753055e-05,2.350455063358161e-05,1.5878312069793333e-06,65536,65514,NUTS_NL_01m_2024.shp,NL,2022,July,7
2022-08-01,2022-09-01,-1.5387096254926291e-06,0.0001294028334086761,4.2469039604968796e-05,1.558211541858207e-05,65536,37509,NUTS_NL_01m_2024.shp,NL,2022,August,8
2022-09-01,2022-10-01,3.1493374990532175e-05,0.00032316410215571523,0.00013291258353003894,4.457222942534647e-05,65536,45428,NUTS_NL_01m_2024.shp,NL,2022,September,9
2022-10-01,2022-11-01,1.3517557817976922e-05,0.00018893563537858427,8.883920849517128e-05,3.046537689079345e-05,65536,54406,NUTS_NL_01m_2024.shp,NL,2022,October,10
2022-11-01,2022-12-01,5.766476533608511e-05,0.000326194625813514,0.00014615555784984775,4.246834521717172e-05,65536,56889,NUTS_NL_01m_2024.shp,NL,2022,November,11
2023-01-01,2023-02-01,1.1881331374752335e-05,0.00012537988368421793,7.172035835412607e-05,1.9957905141214742e-05,65536,60074,NUTS_NL_01m_2024.shp,NL,2023,January,1
2023-02-01,2023-03-01,7.428801382047823e-06,0.00024028262123465538,7.566300074023545e-05,3.29272037814645e-05,65536,35281,NUTS_NL_01m_2024.shp,NL,2023,February,2
2023-04-01,2023-05-01,-1.690552926447708e-05,0.00017048923473339528,4.1687468764050196e-05,2.067209078945973e-05,65536,37456,NUTS_NL_01m_2024.shp,NL,2023,April,4
2023-05-01,2023-06-01,-1.037558718053333e-06,0.0001059924834407866,3.652652372262026e-05,1.748004286686659e-05,65536,35236,NUTS_NL_01m_2024.shp,NL,2023,May,5
2023-06-01,2023-07-01,2.2496435121865943e-05,9.196250175591558e-05,6.071787629099701e-05,1.3736296324544021e-05,65536,63146,NUTS_NL_01m_2024.shp,NL,2023,June,6
2023-08-01,2023-09-01,-9.917306670104153e-06,0.0001468259288230911,3.877136849137744e-05,2.349071187989666e-05,65536,50022,NUTS_NL_01m_2024.shp,NL,2023,August,8
2023-09-01,2023-10-01,9.139368557953276e-06,0.00020561800920404494,8.036788647814784e-05,3.676041359416478e-05,65536,54487,NUTS_NL_01m_2024.shp,NL,2023,September,9
2023-10-01,2023-11-01,1.2144525953772245e-06,0.00029235854162834585,6.0571095329776896e-05,4.892184384133468e-05,65536,56415,NUTS_NL_01m_2024.shp,NL,2023,October,10
2023-11-01,2023-12-01,6.388474048435455e-06,0.0003156297607347369,0.00012372238083288668,6.156381632334099e-05,65536,57257,NUTS_NL_01m_2024.shp,NL,2023,November,11
2023-12-01,2024-01-01,-6.0673090047203004e-05,0.00016750037320889533,-2.9436922311291774e-06,1.867525915011541e-05,65536,56061,NUTS_NL_01m_2024.shp,NL,2023,December,12
2024-01-01,2024-02-01,9.875472642306704e-06,0.00011944188008783385,6.90139378107128e-05,2.2893100797867624e-05,65536,64058,NUTS_NL_01m_2024.shp,NL,2024,January,1
2024-03-01,2024-04-01,1.2692768223132589e-06,0.00013563003449235111,3.083878180239425e-05,1.7113581649880736e-05,65536,54834,NUTS_NL_01m_2024.shp,NL,2024,March,3
2024-04-01,2024-05-01,7.211786851257784e-06,0.00011216384882573038,5.078473594102516e-05,1.4444754882474578e-05,65536,41744,NUTS_NL_01m_2024.shp,NL,2024,April,4
2024-05-01,2024-06-01,2.0879728253930807e-05,5.673587656929158e-05,3.2795298107480934e-05,8.646991319594902e-06,65536,64816,NUTS_NL_01m_2024.shp,NL,2024,May,5
2024-06-01,2024-07-01,-9.024426617543213e-06,0.00010029171971837059,2.8516157788140948e-05,1.2306543789827636e-05,65536,58453,NUTS_NL_01m_2024.shp,NL,2024,June,6
2024-07-01,2024-08-01,1.191409864986781e-06,0.00016322011651936918,3.0333990619888344e-05,2.02001891065534e-05,65536,48877,NUTS_NL_01m_2024.shp,NL,2024,July,7
2024-08-01,2024-09-01,5.715973202313762e-06,9.841152495937422e-05,3.4643778585938025e-05,1.0636041078697562e-05,65536,34698,NUTS_NL_01m_2024.shp,NL,2024,August,8
2024-09-01,2024-10-01,4.225804275392875e-07,8.470469038002193e-05,4.118665924660768e-05,1.4783617033680546e-05,65536,60182,NUTS_NL_01m_2024.shp,NL,2024,September,9
2024-10-01,2024-11-01,-5.077678224552074e-07,0.0001850184635259211,6.908430379785138e-05,4.125757809232101e-05,65536,64690,NUTS_NL_01m_2024.shp,NL,2024,October,10
2024-11-01,2024-12-01,7.204696157714352e-05,0.00021986073988955468,0.0001337244114726903,2.3163421750989098e-05,65536,48950,NUTS_NL_01m_2024.shp,NL,2024,November,11
2018-05-01,2018-06-01,4.249301855452359e-05,7.21722753951326e-05,5.929114539371619e-05,7.532346615267493e-06,65536,58184,NUTS_NL_01m_2024.shp,NL1,2018,May,5
2018-06-01,2018-07-01,2.4965559077827493e-06,6.162564386613667e-05,3.319706009256679e-05,9.822784459044569e-06,65536,29056,NUTS_NL_01m_2024.shp,NL1,2018,June,6
2018-07-01,2018-08-01,2.5133149392786436e-05,0.0001294063840759918,7.561522281735052e-05,2.0036559095607873e-05,65536,42501,NUTS_NL_01m_2024.shp,NL1,2018,July,7
2018-08-01,2018-09-01,4.770206942339428e-06,4.052024814882316e-05,1.7097498730575622e-05,6.2755415127826814e-06,65536,52102,NUTS_NL_01m_2024.shp,NL1,2018,August,8
2018-10-01,2018-11-01,4.023087603854947e-05,0.0001831956033129245,8.820001228809073e-05,1.87965847718306e-05,65536,29359,NUTS_NL_01m_2024.shp,NL1,2018,October,10
2018-11-01,2018-12-01,4.703567174146883e-05,0.00013669035979546607,0.0001018465423756548,1.5830493988356923e-05,65536,44983,NUTS_NL_01m_2024.shp,NL1,2018,November,11
2018-12-01,2019-01-01,8.321456334670074e-06,5.7318360632052645e-05,3.536795434484872e-05,1.3054946645174942e-05,65536,59117,NUTS_NL_01m_2024.shp,NL1,2018,December,12
2019-01-01,2019-02-01,0.0001293491804972291,0.00018454855307936668,0.00015193219845572076,1.4152906858475083e-05,65536,63437,NUTS_NL_01m_2024.shp,NL1,2019,January,1
2019-02-01,2019-03-01,0.00027588833472691476,0.0005464877467602491,0.00048713806270602714,3.4409063436527816e-05,65536,65291,NUTS_NL_01m_2024.shp,NL1,2019,February,2
2019-03-01,2019-04-01,4.972222541255178e-06,4.979986260877922e-05,2.5623634718899454e-05,8.310327366803284e-06,65536,36123,NUTS_NL_01m_2024.shp,NL1,2019,March,3
2019-04-01,2019-05-01,1.6311281797243282e-05,6.817407120252028e-05,3.9784165835653156e-05,1.1779222894383808e-05,65536,56311,NUTS_NL_01m_2024.shp,NL1,2019,April,4
2019-05-01,2019-06-01,9.274730473407544e-06,0.00012927544594276696,5.301997716482134e-05,2.7375780762038932e-05,65536,59314,NUTS_NL_01m_2024.shp,NL1,2019,May,5
2019-06-01,2019-07-01,-1.8161344996769913e-06,7.704544987063855e-05,3.382613269033609e-05,1.1098999461883245e-05,65536,42302,NUTS_NL_01m_2024.shp,NL1,2019,June,6
2019-08-01,2019-09-01,2.750949715846218e-05,0.00011992912186542526,6.359563670363944e-05,1.488091338155654e-05,65536,29056,NUTS_NL_01m_2024.shp,NL1,2019,August,8
2019-09-01,2019-10-01,1.4215272585715866e-06,5.598587085842155e-05,1.9625415977114173e-05,1.05289106970507e-05,65536,50707,NUTS_NL_01m_2024.shp,NL1,2019,September,9
2019-10-01,2019-11-01,4.460070704226382e-05,0.00011630555673036724,7.864383862363669e-05,1.2797011106691458e-05,65536,29056,NUTS_NL_01m_2024.shp,NL1,2019,October,10
2019-11-01,2019-12-01,-2.1049056158517487e-05,0.00010149283480131999,4.3706945909978686e-05,2.0908895027632893e-05,65536,31941,NUTS_NL_01m_2024.shp,NL1,2019,November,11
2019-12-01,2020-01-01,8.054156751313712e-06,8.77048441907391e-05,4.560708573370985e-05,1.544983290182355e-05,65536,29056,NUTS_NL_01m_2024.shp,NL1,2019,December,12
2020-01-01,2020-02-01,9.18258010642603e-05,9.18258010642603e-05,9.18258010642603e-05,0.0,65536,65531,NUTS_NL_01m_2024.shp,NL1,2020,January,1
2020-02-01,2020-03-01,-8.510134648531675e-06,8.644768240628764e-05,4.8473327944141855e-05,1.5987317705880495e-05,65536,53536,NUTS_NL_01m_2024.shp,NL1,2020,February,2
2020-03-01,2020-04-01,-8.396015800826717e-06,0.00010079247294925153,5.564103889139535e-05,1.66661787834134e-05,65536,29056,NUTS_NL_01m_2024.shp,NL1,2020,March,3
2020-04-01,2020-05-01,-6.665898581559304e-06,8.029469609027728e-05,2.9039017214376315e-05,1.6403483750480576e-05,65536,50692,NUTS_NL_01m_2024.shp,NL1,2020,April,4
2020-05-01,2020-06-01,8.941073247115128e-06,5.827768472954631e-05,2.891412437283559e-05,1.0771895914637426e-05,65536,44940,NUTS_NL_01m_2024.shp,NL1,2020,May,5
2020-07-01,2020-08-01,3.0196104034985183e-06,7.670540071558207e-05,3.445928029096346e-05,1.1389459569428872e-05,65536,29056,NUTS_NL_01m_2024.shp,NL1,2020,July,7
2020-08-01,2020-09-01,-7.22690265320125e-06,6.586305244127288e-05,1.9989046398515317e-05,1.2673836001814118e-05,65536,56185,NUTS_NL_01m_2024.shp,NL1,2020,August,8
2020-09-01,2020-10-01,5.562068326980807e-05,0.00018919064314104617,0.00011164354994676045,2.9276286718273475e-05,65536,57687,NUTS_NL_01m_2024.shp,NL1,2020,September,9
2020-10-01,2020-11-01,2.0611823856597766e-06,8.599944703746587e-05,4.067148406868439e-05,1.9942058502324533e-05,65536,63804,NUTS_NL_01m_2024.shp,NL1,2020,October,10
2020-12-01,2021-01-01,-1.2440916179912165e-05,8.552057261113077e-05,4.3682658796791926e-05,1.87771931445093e-05,65536,52106,NUTS_NL_01m_2024.shp,NL1,2020,December,12
2021-01-01,2021-02-01,-4.3530704715522006e-05,6.761292752344161e-05,5.030338341740166e-06,1.8475953366849138e-05,65536,33650,NUTS_NL_01m_2024.shp,NL1,2021,January,1
2021-02-01,2021-03-01,5.129640157974791e-06,6.340882828226313e-05,3.2907740952194364e-05,1.29570049089804e-05,65536,57518,NUTS_NL_01m_2024.shp,NL1,2021,February,2
2021-03-01,2021-04-01,0.00012374816287774593,0.0003403326263651252,0.00017046504399172128,2.7927266050332066e-05,65536,29056,NUTS_NL_01m_2024.shp,NL1,2021,March,3
2021-04-01,2021-05-01,1.3072263755020685e-05,4.971439921064302e-05,2.973128174953213e-05,8.586181712923992e-06,65536,63719,NUTS_NL_01m_2024.shp,NL1,2021,April,4
2021-05-01,2021-06-01,-6.654184403487307e-07,7.970087608555332e-05,4.356585670912747e-05,1.2237710716842078e-05,65536,29395,NUTS_NL_01m_2024.shp,NL1,2021,May,5
2021-07-01,2021-08-01,1.1027935215679463e-05,3.346487210365012e-05,2.0204938013276575e-05,3.4001980714773094e-06,65536,65008,NUTS_NL_01m_2024.shp,NL1,2021,July,7
2021-08-01,2021-09-01,4.978282504453091e-06,4.723944584839046e-05,2.534869950150123e-05,9.246963626088464e-06,65536,60982,NUTS_NL_01m_2024.shp,NL1,2021,August,8
2021-09-01,2021-10-01,2.032498741755262e-05,0.00010685159213608131,5.869816831422684e-05,2.094035194029999e-05,65536,62265,NUTS_NL_01m_2024.shp,NL1,2021,September,9
2021-11-01,2021-12-01,-1.3423722521110903e-05,2.238438173662871e-05,1.423017547533502e-06,7.935102679943142e-06,65536,64946,NUTS_NL_01m_2024.shp,NL1,2021,November,11
2022-01-01,2022-02-01,1.1551560419320595e-06,4.13230482081417e-05,2.5389077352916414e-05,9.809003622568107e-06,65536,62639,NUTS_NL_01m_2024.shp,NL1,2022,January,1
2022-02-01,2022-03-01,1.4278797607403249e-05,0.0001387902011629194,7.819359354816158e-05,2.068114774405736e-05,65536,29056,NUTS_NL_01m_2024.shp,NL1,2022,February,2
2022-04-01,2022-05-01,1.4908583580108825e-05,3.9972168451640755e-05,2.9155647653247375e-05,5.701329688137194e-06,65536,63315,NUTS_NL_01m_2024.shp,NL1,2022,April,4
2022-05-01,2022-06-01,2.1843907234142534e-05,4.6058325096964836e-05,4.3182137324418744e-05,4.302891359218086e-06,65536,65297,NUTS_NL_01m_2024.shp,NL1,2022,May,5
2022-06-01,2022-07-01,7.95472806203179e-06,7.917121547507122e-05,3.633582333351086e-05,1.0807775324640532e-05,65536,40060,NUTS_NL_01m_2024.shp,NL1,2022,June,6
2022-08-01,2022-09-01,2.950182761196629e-06,5.8109981182496995e-05,3.143678779379327e-05,9.306184411896846e-06,65536,29056,NUTS_NL_01m_2024.shp,NL1,2022,August,8
2022-09-01,2022-10-01,4.1002975194714963e-05,0.0002535209059715271,0.00010229408627329723,3.2366436121490384e-05,65536,37049,NUTS_NL_01m_2024.shp,NL1,2022,September,9
2022-10-01,2022-11-01,1.559595148137305e-05,0.00014922948321327567,7.058132264547401e-05,2.284187513721334e-05,65536,48312,NUTS_NL_01m_2024.shp,NL1,2022,October,10
2022-11-01,2022-12-01,7.760190783301368e-05,0.000159190793056041,0.00011634009509932619,1.455667394105739e-05,65536,62163,NUTS_NL_01m_2024.shp,NL1,2022,November,11
2023-01-01,2023-02-01,1.1881331374752335e-05,8.832150342641398e-05,4.6179472507549444e-05,1.4995772628149344e-05,65536,63071,NUTS_NL_01m_2024.shp,NL1,2023,January,1
2023-02-01,2023-03-01,6.111174116085749e-06,9.564333595335484e-05,5.1781526829344504e-05,1.5185873161402898e-05,65536,30206,NUTS_NL_01m_2024.shp,NL1,2023,February,2
2023-04-01,2023-05-01,-6.6291204348090105e-06,6.285067502176389e-05,3.0600643187100075e-05,1.1843946659073957e-05,65536,30192,NUTS_NL_01m_2024.shp,NL1,2023,April,4
2023-05-01,2023-06-01,-1.037558718053333e-06,4.3944030039710924e-05,2.200617846656774e-05,8.78334058531978e-06,65536,30395,NUTS_NL_01m_2024.shp,NL1,2023,May,5
2023-06-01,2023-07-01,2.2496435121865943e-05,3.9399368688464165e-05,2.7446054850265176e-05,5.708349688035004e-06,65536,65365,NUTS_NL_01m_2024.shp,NL1,2023,June,6
2023-08-01,2023-09-01,-9.917306670104153e-06,5.732601130148396e-05,2.09857610004633e-05,1.0709339495922088e-05,65536,50531,NUTS_NL_01m_2024.shp,NL1,2023,August,8
2023-09-01,2023-10-01,9.139368557953276e-06,0.00010956102778436616,3.9419207402511896e-05,1.651754435246956e-05,65536,57224,NUTS_NL_01m_2024.shp,NL1,2023,September,9
2023-10-01,2023-11-01,1.2144525953772245e-06,6.349009345285594e-05,3.760432053305948e-05,1.0191987761562347e-05,65536,52456,NUTS_NL_01m_2024.shp,NL1,2023,October,10
2023-11-01,2023-12-01,1.665618401602842e-05,8.808152051642537e-05,6.080870454209994e-05,1.581895948427915e-05,65536,59857,NUTS_NL_01m_2024.shp,NL1,2023,November,11
2023-12-01,2024-01-01,-3.231854134355672e-05,0.00016750037320889533,1.2030676823364855e-05,2.3429981405245105e-05,65536,56865,NUTS_NL_01m_2024.shp,NL1,2023,December,12
2024-03-01,2024-04-01,1.2692768223132589e-06,9.85080114332959e-05,2.7042560674195872e-05,1.403110743134615e-05,65536,48459,NUTS_NL_01m_2024.shp,NL1,2024,March,3
2024-04-01,2024-05-01,7.211786851257784e-06,9.763443085830659e-05,5.131461380181659e-05,1.5003550037782604e-05,65536,30599,NUTS_NL_01m_2024.shp,NL1,2024,April,4
2024-06-01,2024-07-01,-2.5312701836810447e-06,4.9402497097617015e-05,2.5340286285922345e-05,9.347072380498852e-06,65536,60914,NUTS_NL_01m_2024.shp,NL1,2024,June,6
2024-07-01,2024-08-01,1.191409864986781e-06,5.3668307373300195e-05,2.1112803586077252e-05,8.54476293337282e-06,65536,29056,NUTS_NL_01m_2024.shp,NL1,2024,July,7
2024-08-01,2024-09-01,5.9988192333548795e-06,5.3988962463336065e-05,2.7162706214954102e-05,7.641990280846926e-06,65536,29056,NUTS_NL_01m_2024.shp,NL1,2024,August,8
2024-09-01,2024-10-01,4.225804275392875e-07,8.470469038002193e-05,4.127386961466378e-05,1.4693282989811587e-05,65536,40424,NUTS_NL_01m_2024.shp,NL1,2024,September,9
2024-10-01,2024-11-01,-5.077678224552074e-07,5.498275641002692e-05,3.0622756864785905e-05,1.371354775668132e-05,65536,64722,NUTS_NL_01m_2024.shp,NL1,2024,October,10
2024-11-01,2024-12-01,7.204696157714352e-05,0.00021116573770996183,0.00012846195219301824,2.9414808583097505e-05,65536,57292,NUTS_NL_01m_2024.shp,NL1,2024,November,11
2018-05-01,2018-06-01,4.249301855452359e-05,7.21722753951326e-05,5.983567715142567e-05,7.620636093036538e-06,65536,46101,NUTS_NL_01m_2024.shp,NL11,2018,May,5
2018-06-01,2018-07-01,1.1644847290881444e-05,5.617578062810935e-05,3.331320257249782e-05,8.749244041813656e-06,65536,36854,NUTS_NL_01m_2024.shp,NL11,2018,June,6
2018-07-01,2018-08-01,6.977736484259367e-05,0.00012230579159222543,8.753775409952791e-05,1.709691455779965e-05,65536,62252,NUTS_NL_01m_2024.shp,NL11,2018,July,7
2018-08-01,2018-09-01,5.475207217386924e-06,2.9934131816844456e-05,1.4893659699687152e-05,8.262633294703541e-06,65536,60096,NUTS_NL_01m_2024.shp,NL11,2018,August,8
2018-09-01,2018-10-01,2.5915895093930885e-05,6.800399569328874e-05,4.9278113647823694e-05,1.075780140764981e-05,65536,65151,NUTS_NL_01m_2024.shp,NL11,2018,September,9
2018-10-01,2018-11-01,6.116847362136468e-05,0.00011813107994385064,9.063159903880652e-05,1.1380751926433559e-05,65536,36854,NUTS_NL_01m_2024.shp,NL11,2018,October,10
2018-11-01,2018-12-01,7.941161311464384e-05,0.00013591897732112557,0.00010495398020813235,1.0112786124346863e-05,65536,52713,NUTS_NL_01m_2024.shp,NL11,2018,November,11
2018-12-01,2019-01-01,2.1884476154809818e-05,5.364511889638379e-05,3.503985733673819e-05,1.3177272793553848e-05,65536,62692,NUTS_NL_01m_2024.shp,NL11,2018,December,12
2019-01-01,2019-02-01,0.0001293491804972291,0.00018454855307936668,0.00014346958059682083,1.2662535359332876e-05,65536,62201,NUTS_NL_01m_2024.shp,NL11,2019,January,1
2019-03-01,2019-04-01,5.274250270304037e-06,4.637030360754579e-05,2.2817015807980615e-05,8.353621741457532e-06,65536,41026,NUTS_NL_01m_2024.shp,NL11,2019,March,3
2019-04-01,2019-05-01,1.6311281797243282e-05,6.817407120252028e-05,4.303291255459885e-05,1.241024095022072e-05,65536,53513,NUTS_NL_01m_2024.shp,NL11,2019,April,4
2019-05-01,2019-06-01,3.3430271287215874e-05,5.046309161116369e-05,4.021116376849944e-05,6.747543563597039e-06,65536,65382,NUTS_NL_01m_2024.shp,NL11,2019,May,5
