interval_from,interval_to,hcho_B0_min,hcho_B0_max,hcho_B0_mean,hcho_B0_stDev,hcho_B0_sampleCount,hcho_B0_noDataCount,shapefile,NUTS_ID,year,month,month_num
2019-09-01,2019-10-01,-0.00020915467757731676,0.00033164466731250286,2.5666282587718726e-05,9.400288011394066e-05,65536,48024,NUTS_NL_01m_2024.shp,NL1,2019,September,9
2019-10-01,2019-11-01,-0.0003965627693105489,0.00042572885286062956,6.538863809771494e-05,0.00014729094780928273,65536,29056,NUTS_NL_01m_2024.shp,NL1,2019,October,10
2020-01-01,2020-02-01,7.414771971525624e-05,9.01707899174653e-05,8.806249120664833e-05,5.416317457148796e-06,65536,65498,NUTS_NL_01m_2024.shp,NL1,2020,January,1
2020-02-01,2020-03-01,-0.00037799071287736297,0.0005712139536626637,8.1454090711256e-05,0.00016821022122022195,65536,43162,NUTS_NL_01m_2024.shp,NL1,2020,February,2
2020-03-01,2020-04-01,-0.0003434295649640262,0.00039103830931708217,3.771970264366628e-05,0.00012052643182958067,65536,29056,NUTS_NL_01m_2024.shp,NL1,2020,March,3
2020-04-01,2020-05-01,-0.0002541351714171469,0.0002675325085874647,1.5138778921944268e-05,7.333496363156029e-05,65536,48326,NUTS_NL_01m_2024.shp,NL1,2020,April,4
2020-05-01,2020-06-01,-0.00019349159265402704,0.00033998137223534286,8.502402252184926e-05,0.00010068781635443808,65536,32637,NUTS_NL_01m_2024.shp,NL1,2020,May,5
2020-06-01,2020-07-01,-4.711260044132359e-05,-4.711260044132359e-05,-4.711260044132359e-05,0.0,65536,65526,NUTS_NL_01m_2024.shp,NL1,2020,June,6
2020-07-01,2020-08-01,-0.0002459190727677196,0.0004369899688754231,0.00010541169416646346,0.00011819710454463123,65536,29056,NUTS_NL_01m_2024.shp,NL1,2020,July,7
2020-08-01,2020-09-01,-0.00020780196064151824,0.00025951594579964876,1.7112782777518333e-05,8.409553925453707e-05,65536,50121,NUTS_NL_01m_2024.shp,NL1,2020,August,8
2020-09-01,2020-10-01,-0.00023800344206392765,0.0003396277315914631,2.7856895289629368e-05,0.00010290908783743313,65536,56923,NUTS_NL_01m_2024.shp,NL1,2020,September,9
2020-10-01,2020-11-01,-0.00018673462909646332,0.00034171203151345253,3.99004928019712e-05,9.934480608503767e-05,65536,59286,NUTS_NL_01m_2024.shp,NL1,2020,October,10
2021-01-01,2021-02-01,-0.0002220190508523956,0.00026511194300837815,-6.519415881639146e-05,0.00013266487147862202,65536,65159,NUTS_NL_01m_2024.shp,NL1,2021,January,1
