,SUBID_A,SUBID_B
419,9521868,9500463
420,9521943,9500463
421,9521989,9500463
422,9522105,9500463
423,9522125,9500463
424,9522154,9500463
425,9522258,9500463
426,9556306,9500463
427,9556308,9500463
428,9556397,9500463
429,9556413,9500463
430,9556479,9500463
431,9556594,9500463
432,9556608,9500463
433,9556631,9500463
434,9556740,9500463
435,9500137,9500476
436,9500145,9500476
437,9500466,9500476
438,9500470,9500476
439,9500704,9500476
440,9500872,9500476
441,9500877,9500476
442,9500902,9500476
443,9500904,9500476
444,9500914,9500476
445,9500916,9500476
446,9501257,9500476
447,9501431,9500476
448,9521760,9500476
449,9521852,9500476
450,9521868,9500476
451,9521943,9500476
452,9521989,9500476
453,9522105,9500476
454,9522125,9500476
455,9522154,9500476
456,9522258,9500476
457,9556306,9500476
458,9556308,9500476
459,9556345,9500476
460,9556360,9500476
461,9556371,9500476
462,9556390,9500476
463,9556397,9500476
464,9556402,9500476
465,9556413,9500476
466,9556427,9500476
467,9556439,9500476
468,9556449,9500476
469,9556463,9500476
470,9556478,9500476
471,9556479,9500476
472,9556480,9500476
473,9556483,9500476
474,9556492,9500476
475,9556512,9500476
476,9556534,9500476
477,9556545,9500476
478,9556546,9500476
479,9556558,9500476
480,9556562,9500476
481,9556569,9500476
482,9556584,9500476
483,9556586,9500476
484,9556594,9500476
485,9556596,9500476
486,9556604,9500476
487,9556608,9500476
488,9556610,9500476
489,9556631,9500476
490,9556646,9500476
491,9556649,9500476
492,9556654,9500476
493,9556664,9500476
494,9556669,9500476
495,9556684,9500476
496,9556688,9500476
497,9556694,9500476
498,9556708,9500476
499,9556713,9500476
500,9556728,9500476
501,9556740,9500476
502,9556741,9500476
503,9556754,9500476
504,9556864,9500476
505,9556955,9500476
506,9557004,9500476
507,9557101,9500476
508,9557108,9500476
509,9562826,9500476
510,9562842,9500476
511,9562851,9500476
512,9562856,9500476
513,9562860,9500476
514,9562897,9500476
515,9562901,9500476
516,9562902,9500476
517,9562904,9500476
518,9562908,9500476
519,9562917,9500476
520,9562934,9500476
521,9562943,9500476
522,9562945,9500476
523,9562950,9500476
524,9562986,9500476
525,9563001,9500476
526,9563025,9500476
527,9563040,9500476
528,9563046,9500476
529,9563049,9500476
530,9563065,9500476
531,9563071,9500476
532,9563101,9500476
533,9563122,9500476
534,9563123,9500476
535,9563126,9500476
536,9563146,9500476
537,9563158,9500476
538,9563167,9500476
539,9563180,9500476
540,9563192,9500476
541,9563218,9500476
542,9563221,9500476
543,9563225,9500476
544,9563239,9500476
545,9563244,9500476
546,9563272,9500476
547,9563280,9500476
548,9563288,9500476
549,9563300,9500476
550,9563302,9500476
551,9563307,9500476
552,9563321,9500476
553,9563326,9500476
554,9563332,9500476
555,9563334,9500476
556,9563345,9500476
557,9563354,9500476
558,9556546,9500579
559,9563225,9500579
560,9500098,9500640
561,9500131,9500640
562,9500649,9500640
563,9500652,9500640
564,9535200,9500640
565,9535211,9500640
566,9535229,9500640
567,9535266,9500640
568,9535273,9500640
569,9535278,9500640
570,9535280,9500640
571,9535382,9500640
572,9535579,9500640
573,9535640,9500640
574,9562826,9500779
575,9562986,9500779
576,9563025,9500779
577,9563180,9500779
578,9563192,9500779
579,9563218,9500779
580,9563272,9500779
581,9563332,9500779
582,9563334,9500779
